FIPS_integ,ahec_name,ahec_code
37001,Greensboro,1
37003,Northwest,9
37005,Northwest,9
37007,Charlotte,3
37009,Northwest,9
37011,Northwest,9
37013,Eastern,7
37015,Eastern,7
37017,Southern Regional,0
37019,Coastal,4
37021,Mountain,2
37023,Northwest,9
37025,Charlotte,3
37027,Northwest,9
37029,Eastern,7
37031,Eastern,7
37033,Greensboro,1
37035,Northwest,9
37037,Greensboro,1
37039,Mountain,2
37041,Eastern,7
37043,Mountain,2
37045,Charlotte,3
37047,Coastal,4
37049,Eastern,7
37051,Southern Regional,0
37053,Eastern,7
37055,Eastern,7
37057,Northwest,9
37059,Northwest,9
37061,Coastal,4
37063,Wake,6
37065,Area L,5
37067,Northwest,9
37069,Wake,6
37071,Charlotte,3
37073,Eastern,7
37075,Mountain,2
37077,Wake,6
37079,Eastern,7
37081,Greensboro,1
37083,Area L,5
37085,Southern Regional,0
37087,Mountain,2
37089,Mountain,2
37091,Eastern,7
37093,Southern Regional,0
37095,Eastern,7
37097,Northwest,9
37099,Mountain,2
37101,Wake,6
37103,Eastern,7
37105,Wake,6
37107,Eastern,7
37109,Charlotte,3
37111,Mountain,2
37113,Mountain,2
37115,Mountain,2
37117,Eastern,7
37119,Charlotte,3
37121,Mountain,2
37123,Greensboro,1
37125,Southern Regional,0
37127,Area L,5
37129,Coastal,4
37131,Area L,5
37133,Eastern,7
37135,Greensboro,1
37137,Eastern,7
37139,Eastern,7
37141,Coastal,4
37143,Eastern,7
37145,Wake,6
37147,Eastern,7
37149,Mountain,2
37151,Greensboro,1
37153,Southern Regional,0
37155,Southern Regional,0
37157,Greensboro,1
37159,Northwest,9
37161,Mountain,2
37163,Southern Regional,0
37165,Southern Regional,0
37167,Charlotte,3
37169,Northwest,9
37171,Northwest,9
37173,Mountain,2
37175,Mountain,2
37177,Eastern,7
37179,Charlotte,3
37181,Wake,6
37183,Wake,6
37185,Wake,6
37187,Eastern,7
37189,Northwest,9
37191,Eastern,7
37193,Northwest,9
37195,Area L,5
37197,Northwest,9
37199,Mountain,2
